city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
ADANA,170,778.6883000000001,1490,0.233,2268.9213,18699.203475134,2014,8.242,akdeniz
ADIYAMAN,94,446.89555699999994,0,0,446.89555699999994,2333.0200182958997,2014,5.221,guneydogu_anadolu
AFYONKARAHISAR,248,1058.9791,0,29.361000000000004,1088.3401000000001,7777.985008500001,2014,7.345,ege
AGRI,1473,28986.025899999993,0,415.7547,29401.780599999995,85151.58859121021,2014,2.938,dogu_anadolu
AKSARAY,1,0.555,0,0.054000000000000006,0.6090000000000001,0.55500001,2014,1,ic_anadolu
AMASYA,8,7.079199999999999,1200,0,1207.0792,131.8190000985,2014,0.109,karadeniz
ANKARA,34,2116.9836,0,15.1655,2132.1490999999996,8585.544162392001,2014,4.056,ic_anadolu
ANTALYA,39,111.07130000000001,12310,0,12421.071300000001,3188.00600007,2014,0.257,akdeniz
ARDAHAN,275,1495.7196000000004,0,2.9403,1498.6599,4029.24336078,2014,2.694,dogu_anadolu
ARTVIN,548,1186.4860000000003,0,0,1186.4860000000003,4205.428000649999,2014,3.544,karadeniz
AYDIN,4231,20953.446860000004,700,41.2003,21694.647160000004,80300.1621355427,2014,3.708,ege
BALIKESIR,71,812.8815,0,18.708,831.5895,1874.9239982101,2014,2.307,marmara
BARTIN,11,1.1768000000000003,1000,0,1001.1768,14.54799999,2014,0.015,karadeniz
BATMAN,13,662.7461000000001,0,0,662.7461000000001,1769.5300100000002,2014,2.67,guneydogu_anadolu
BAYBURT,113,1102.3427000000004,0,180.91610000000003,1283.2588000000005,6134.90208872,2014,5.565,karadeniz
BILECIK,60,92.03840000000001,0,1.5997000000000001,93.63810000000001,1801.1549971391003,2014,19.57,marmara
BITLIS,371,4721.42355,1019.614,647.09745,6388.135000000001,20033.225625799998,2014,3.489,dogu_anadolu
BOLU,8,19.558199999999996,60,14.1197,94.406,125.63031900000001,2014,1.579,karadeniz
BURDUR,60,158.9336,0,0,158.9336,707.9709896180001,2014,4.455,akdeniz
